DB_ID,INDEX
DB01330,1285
DB01331,1286
DB01332,334
DB01337,1284
DB01339,1282
DB01340,360
DB01344,472
DB01348,358
DB01353,458
DB01355,460
DB01359,457
DB01364,125
DB01365,124
DB01366,123
DB01367,122
DB01369,127
DB01380,573
DB01381,572
DB01384,290
DB01388,977
DB01392,931
DB01393,689
DB01394,1388
DB01395,930
DB01396,1371
DB01399,685
DB01400,929
DB01401,814
DB01403,928
DB01405,799
DB01406,791
DB01408,826
DB01409,932
DB01410,3
DB01411,788
DB01413,789
DB01415,790
DB01418,1
DB01420,688
DB01424,686
DB01427,687
DB01432,577
DB01436,576
DB01437,575
DB01438,574
DB01440,446
DB01452,1186
DB01454,559
DB01463,1102
DB01466,565
DB01501,1005
DB01544,1399
DB01551,566
DB01553,149
DB01558,21
DB01559,22
DB01567,150
DB01576,272
DB01577,273
DB01579,271
DB01580,780
DB01581,166
DB01582,165
DB01583,164
DB01586,862
DB01587,162
DB01588,170
DB01589,169
DB01590,286
DB01591,287
DB01592,288
DB01595,285
DB01598,289
DB01600,276
DB01601,277
DB01603,278
DB01607,1387
DB01608,705
DB01609,1463
DB01610,839
DB01611,155
DB01612,154
DB01613,838
DB01614,837
DB01615,151
DB01618,120
DB01619,161
DB01620,482
DB01621,483
DB01622,1248
DB01623,481
DB01624,479
DB01627,478
DB01628,1216
DB01656,590
DB01708,97
DB01764,118
DB02187,1061
DB02300,1241
DB02703,734
DB02709,660
DB03255,861
DB03783,1317
DB04552,401
DB04570,607
DB04573,425
DB04574,603
DB04575,602
DB04690,69
DB04743,1089
DB04794,1212
DB04835,953
DB04836,976
DB04839,1182
DB04840,1432
DB04841,1431
DB04844,1429
DB04846,1430
DB04854,65
DB04855,66
DB04861,1227
DB04865,1228
DB04871,1333
DB04878,1331
DB04894,1238
DB04895,1239
DB04896,1232
DB04897,1376
DB04898,1456
DB04899,1460
DB04920,1126
DB04934,1471
DB04938,1038
DB04946,531
DB04948,532
DB04951,417
DB04953,416
DB04957,414
DB04975,638
DB05015,1267
